"product_id","product_name","total_unit_sold","total_returned","return_percentage"
742,"Pet Exercise Wheel","4","1","25.00000000000000000000"
365,"Women's Ballet Flats","8","2","25.00000000000000000000"
597,"Tennis Balls","8","2","25.00000000000000000000"
334,"Men's Canvas Sneakers","8","2","25.00000000000000000000"
48,"Dell UltraSharp U4021QW Monitor","37","9","24.32432432432432432400"
205,"Logitech G923 Racing Wheel","37","9","24.32432432432432432400"
41,"Dell Inspiron 15 3000","70","17","24.28571428571428571400"
412,"Women's Long Cardigan","17","4","23.52941176470588235300"
490,"Kitchen Timer","17","4","23.52941176470588235300"
461,"Spice Rack","13","3","23.07692307692307692300"
585,"Cat Tree","13","3","23.07692307692307692300"
642,"Inflatable Pool","13","3","23.07692307692307692300"
531,"Dish Brush","13","3","23.07692307692307692300"
232,"Microsoft Surface Headphones 2","35","8","22.85714285714285714300"
118,"Corsair Vengeance LPX 16GB DDR4 RAM","22","5","22.72727272727272727300"
217,"Logitech G915 TKL Mechanical Keyboard","44","10","22.72727272727272727300"
440,"Women's Casual Flats","9","2","22.22222222222222222200"
321,"Unisex Backpack","9","2","22.22222222222222222200"
280,"Sony WH-1000XM3 Wireless Headphones","9","2","22.22222222222222222200"
485,"Tea Kettle","9","2","22.22222222222222222200"
458,"Water Filter Pitcher","9","2","22.22222222222222222200"
462,"Cutting Board Set","9","2","22.22222222222222222200"
447,"Microwave Oven","9","2","22.22222222222222222200"
484,"Popcorn Maker","9","2","22.22222222222222222200"
452,"Stand Mixer","9","2","22.22222222222222222200"
422,"Women's Summer Dress","9","2","22.22222222222222222200"
446,"Blender","9","2","22.22222222222222222200"
175,"Fitbit Charge 4","36","8","22.22222222222222222200"
111,"Acer Predator Helios 300","36","8","22.22222222222222222200"
96,"Sonos One (Gen 2) Wireless Speaker","37","8","21.62162162162162162200"
178,"Roku Ultra 2022","28","6","21.42857142857142857100"
254,"Canon EOS 90D Camera Kit","14","3","21.42857142857142857100"
376,"Unisex Classic Hat","14","3","21.42857142857142857100"
378,"Women's Leggings","14","3","21.42857142857142857100"
182,"ASUS ROG Flow X13","33","7","21.21212121212121212100"
479,"Griddle Pan","19","4","21.05263157894736842100"
704,"Action Figures Set","76","16","21.05263157894736842100"
105,"Jabra Elite 75t Wireless Earbuds","38","8","21.05263157894736842100"
209,"Bose SoundLink Flex","29","6","20.68965517241379310300"
715,"Outdoor Basketball Net","58","12","20.68965517241379310300"
106,"Razer BlackWidow V3 Mechanical Keyboard","39","8","20.51282051282051282100"
342,"Men's Suede Jacket","10","2","20.00000000000000000000"
555,"Automatic Pet Feeder","10","2","20.00000000000000000000"
361,"Unisex Messenger Bag","10","2","20.00000000000000000000"
509,"Kitchen Drawer Organizers","10","2","20.00000000000000000000"
529,"Set of Measuring Spoons","15","3","20.00000000000000000000"
269,"HP Pavilion Gaming Desktop","5","1","20.00000000000000000000"
311,"Unisex Denim Jacket","10","2","20.00000000000000000000"
189,"Sennheiser CX 400BT True Wireless","25","5","20.00000000000000000000"
319,"Men's Casual Shorts","5","1","20.00000000000000000000"
617,"Giant Jenga","10","2","20.00000000000000000000"
414,"Men's Crewneck Sweatshirt","5","1","20.00000000000000000000"
53,"Dell Alienware m17 R5 Gaming Laptop","35","7","20.00000000000000000000"
534,"Pancake Maker","15","3","20.00000000000000000000"
526,"Pot and Pan Protectors","10","2","20.00000000000000000000"
750,"Dog Bowls with Stand","5","1","20.00000000000000000000"
623,"Golf Balls","5","1","20.00000000000000000000"
571,"Dumbbell Set","15","3","20.00000000000000000000"
564,"Play-Doh Set","10","2","20.00000000000000000000"
507,"Vacuum Sealer","10","2","20.00000000000000000000"
510,"Collapsible Dish Rack","10","2","20.00000000000000000000"
584,"Pet Collar","10","2","20.00000000000000000000"
19,"Apple iPhone 14 Pro","76","15","19.73684210526315789500"
677,"Child’s Tool Set","66","13","19.69696969696969697000"
660,"Fitness Tracker","61","12","19.67213114754098360700"
129,"Bose SoundLink Mini II","41","8","19.51219512195121951200"
223,"Logitech G703 Lightspeed Wireless Mouse","41","8","19.51219512195121951200"
199,"Jabra Elite 85t Wireless Earbuds","41","8","19.51219512195121951200"
684,"Golf Bag","78","15","19.23076923076923076900"
40,"Dell Alienware Aurora R13","63","12","19.04761904761904761900"
58,"Samsung Galaxy Buds2 Pro","42","8","19.04761904761904761900"
121,"Amazon Echo Studio","42","8","19.04761904761904761900"
135,"Canon EOS M50 Mark II","42","8","19.04761904761904761900"
212,"HP Spectre x360 15","37","7","18.91891891891891891900"
180,"Bose Noise Cancelling Headphones 700","37","7","18.91891891891891891900"
161,"Logitech G Pro Gaming Keyboard","37","7","18.91891891891891891900"
666,"Pet Toothbrush","64","12","18.75000000000000000000"
419,"Men's Stylish Sneakers","16","3","18.75000000000000000000"
626,"Baseball Bat","16","3","18.75000000000000000000"
580,"Pet Shampoo","16","3","18.75000000000000000000"
637,"Dog First Aid Kit","16","3","18.75000000000000000000"
323,"Women's Evening Gown","16","3","18.75000000000000000000"
366,"Unisex Beaded Bracelet","16","3","18.75000000000000000000"
116,"LG 27GN950-B UltraGear Monitor","27","5","18.51851851851851851900"
25,"Apple MacBook Pro 16-inch","65","12","18.46153846153846153800"
731,"Pet Thermometer","65","12","18.46153846153846153800"
91,"Microsoft Surface Pro 8","38","7","18.42105263157894736800"
164,"iPad Mini (6th Gen)","38","7","18.42105263157894736800"
688,"Sports Socks","82","15","18.29268292682926829300"
147,"ASUS TUF Gaming A15","44","8","18.18181818181818181800"
66,"Samsung Galaxy Tab S7+","33","6","18.18181818181818181800"
287,"Jabra Elite 75t","11","2","18.18181818181818181800"
363,"Women's Ankle Boots","11","2","18.18181818181818181800"
455,"Electric Griddle","11","2","18.18181818181818181800"
384,"Men's Baseball Cap","11","2","18.18181818181818181800"
72,"Samsung Galaxy Buds Live","33","6","18.18181818181818181800"
183,"Lenovo IdeaPad Flex 5","33","6","18.18181818181818181800"
100,"DJI Mini 2 Drone","33","6","18.18181818181818181800"
163,"Belkin BoostCharge 10W Wireless Charger","44","8","18.18181818181818181800"
632,"Dog Pool","11","2","18.18181818181818181800"
230,"Lenovo Yoga 9i","33","6","18.18181818181818181800"
482,"Adjustable Rolling Pin","11","2","18.18181818181818181800"
441,"Stainless Steel Cookware Set","11","2","18.18181818181818181800"
310,"Women's Casual Dress","11","2","18.18181818181818181800"
391,"Unisex Casual Belt","11","2","18.18181818181818181800"
302,"Lenovo IdeaPad 3 15 Laptop","11","2","18.18181818181818181800"
525,"Tea Towels Set","11","2","18.18181818181818181800"
289,"Canon EOS Rebel T7i Camera Kit","11","2","18.18181818181818181800"
374,"Men's Fitted Blazer","11","2","18.18181818181818181800"
586,"Dog Food","11","2","18.18181818181818181800"
21,"Apple MacBook Air M1","61","11","18.03278688524590163900"
191,"HP Omen 15 Gaming Laptop","28","5","17.85714285714285714300"
89,"Bose QuietComfort 35 II","28","5","17.85714285714285714300"
663,"Catnip Toys","62","11","17.74193548387096774200"
249,"Lenovo ThinkPad X1 Yoga","34","6","17.64705882352941176500"
712,"Kid’s Swing Set","68","12","17.64705882352941176500"
226,"Bose Home Speaker 500","34","6","17.64705882352941176500"
36,"Apple Watch Series 7","68","12","17.64705882352941176500"
143,"Logitech MX Keys","34","6","17.64705882352941176500"
498,"Nonstick Bakeware Set","17","3","17.64705882352941176500"
718,"Baseball Helmet","74","13","17.56756756756756756800"
145,"Western Digital My Book 8TB External HD","40","7","17.50000000000000000000"
241,"Razer Viper Ultimate Wireless Mouse","40","7","17.50000000000000000000"
723,"Rock Climbing Harness","75","13","17.33333333333333333300"
678,"Remote-Controlled Truck","75","13","17.33333333333333333300"
6,"Apple iMac 24-Inch","133","23","17.29323308270676691700"
238,"Logitech G Pro X Wireless Headset","29","5","17.24137931034482758600"
103,"Sony A7 III Mirrorless Camera","35","6","17.14285714285714285700"
56,"Samsung Galaxy Z Fold 4","41","7","17.07317073170731707300"
33,"Apple TV HD","53","9","16.98113207547169811300"
719,"Paddleboard","65","11","16.92307692307692307700"
368,"Women's Sleeveless Top","12","2","16.66666666666666666700"
576,"Ski Poles","12","2","16.66666666666666666700"
413,"Unisex Beaded Necklace","6","1","16.66666666666666666700"
285,"Sony WH-H910N Noise Cancelling Headphones","6","1","16.66666666666666666700"
594,"RC Boat","12","2","16.66666666666666666700"
362,"Men's Corduroy Pants","12","2","16.66666666666666666700"
190,"Sony WF-1000XM4 Wireless Earbuds","36","6","16.66666666666666666700"
95,"GoPro HERO10 Black","36","6","16.66666666666666666700"
553,"Pet Food Bowl","18","3","16.66666666666666666700"
449,"Nonstick Frying Pan","12","2","16.66666666666666666700"
255,"Bose Soundbar 300","6","1","16.66666666666666666700"
627,"Hiking Poles","12","2","16.66666666666666666700"
620,"Train Set","12","2","16.66666666666666666700"
235,"Anker PowerCore 10000 Portable Charger","30","5","16.66666666666666666700"
443,"Air Fryer","6","1","16.66666666666666666700"
39,"Dell XPS 13 Laptop","66","11","16.66666666666666666700"
114,"Microsoft Xbox Series X","48","8","16.66666666666666666700"
593,"Magic Set","12","2","16.66666666666666666700"
495,"Magnetic Knife Strip","6","1","16.66666666666666666700"
536,"Rolling Pin with Thickness Rings","6","1","16.66666666666666666700"
8,"Apple iMac Pro","120","20","16.66666666666666666700"
1,"Apple AirPods 3rd Gen","108","18","16.66666666666666666700"
621,"Learning Tablet","6","1","16.66666666666666666700"
364,"Men's Track Jacket","12","2","16.66666666666666666700"
541,"Knife Sharpener","12","2","16.66666666666666666700"
600,"Folding Chair","12","2","16.66666666666666666700"
530,"Food Storage Jars","6","1","16.66666666666666666700"
561,"Action Figures","12","2","16.66666666666666666700"
244,"Logitech MX Master 3S","42","7","16.66666666666666666700"
609,"Pet Blanket","12","2","16.66666666666666666700"
468,"Dish Towels Set","18","3","16.66666666666666666700"
133,"Jabra Elite Active 65t","36","6","16.66666666666666666700"
251,"Razer BlackWidow V3 Mini Keyboard","6","1","16.66666666666666666700"
705,"Children’s Puzzle","78","13","16.66666666666666666700"
171,"Logitech G733 Wireless Gaming Headset","36","6","16.66666666666666666700"
679,"Activity Center","67","11","16.41791044776119403000"
204,"Microsoft Xbox Series S","49","8","16.32653061224489795900"
112,"TP-Link Archer AX73 Wi-Fi 6 Router","49","8","16.32653061224489795900"
691,"Kids’ Baseball Mitt","86","14","16.27906976744186046500"
104,"Lenovo ThinkPad X1 Carbon","37","6","16.21621621621621621600"
669,"Pet Safety Seat","74","12","16.21621621621621621600"
43,"Dell XPS 17 Laptop","68","11","16.17647058823529411800"
14,"Apple iPad Pro 12.9-inch (4th Gen)","62","10","16.12903225806451612900"
192,"ASUS ROG Strix G15","25","4","16.00000000000000000000"
207,"Sony ZV-1 Compact Camera","44","7","15.90909090909090909100"
107,"Logitech MX Master 3","44","7","15.90909090909090909100"
224,"LG UltraGear 38GN950 Monitor","44","7","15.90909090909090909100"
680,"Play Tent","63","10","15.87301587301587301600"
27,"Apple Magic Keyboard","63","10","15.87301587301587301600"
152,"Logitech G Pro X Wireless Gaming Headset","38","6","15.78947368421052631600"
17,"Apple iPhone 13 Mini","57","9","15.78947368421052631600"
126,"LG Gram 17 Laptop","38","6","15.78947368421052631600"
3,"Apple AirPods Pro","121","19","15.70247933884297520700"
74,"Samsung 32-Inch Odyssey G5 Monitor","32","5","15.62500000000000000000"
99,"Garmin Forerunner 945","32","5","15.62500000000000000000"
211,"Western Digital My Passport 1TB External HD","32","5","15.62500000000000000000"
172,"LG CineBeam HU80KA 4K Laser Projector","32","5","15.62500000000000000000"
139,"Nintendo Switch Lite","45","7","15.55555555555555555600"
37,"Apple Watch Series 8","71","11","15.49295774647887323900"
110,"Philips Hue White and Color Ambiance Bulbs","39","6","15.38461538461538461500"
544,"Pan Protector","13","2","15.38461538461538461500"
515,"Sifter","13","2","15.38461538461538461500"
276,"HP Chromebook x360 14","13","2","15.38461538461538461500"
424,"Men's Chukka Boots","13","2","15.38461538461538461500"
83,"Samsung Galaxy S20 FE","26","4","15.38461538461538461500"
589,"Nerf Blaster","13","2","15.38461538461538461500"
61,"Samsung Galaxy Z Flip 4","26","4","15.38461538461538461500"
739,"Indoor Climbing Set","65","10","15.38461538461538461500"
392,"Men's Softshell Jacket","13","2","15.38461538461538461500"
317,"Men's Dress Shirt","13","2","15.38461538461538461500"
344,"Men's Casual Loafers","13","2","15.38461538461538461500"
697,"Pet Sling Carrier","59","9","15.25423728813559322000"
737,"Mini Pool Table","66","10","15.15151515151515151500"
157,"Sony A6400 Mirrorless Camera","33","5","15.15151515151515151500"
206,"DJI Mavic Mini 2","33","5","15.15151515151515151500"
176,"Sony Xperia 5 II","33","5","15.15151515151515151500"
22,"Apple MacBook Air M2","66","10","15.15151515151515151500"
729,"Pet Car Window Shade","66","10","15.15151515151515151500"
150,"NVIDIA GeForce RTX 3080 Graphics Card","33","5","15.15151515151515151500"
13,"Apple iPad Pro (11-inch)","86","13","15.11627906976744186000"
44,"Dell S3221QS Curved Monitor","86","13","15.11627906976744186000"
655,"Exercise Resistance Bands","73","11","15.06849315068493150700"
197,"Sony Alpha 7C Mirrorless Camera","40","6","15.00000000000000000000"
732,"Dog Harness with Leash","87","13","14.94252873563218390800"
146,"Acer Predator X34 Monitor","27","4","14.81481481481481481500"
123,"Huawei Watch GT 3","34","5","14.70588235294117647100"
132,"ASUS ZenBook 13","34","5","14.70588235294117647100"
169,"Sony PlayStation 5 DualSense Controller","34","5","14.70588235294117647100"
738,"Art Supplies Set","68","10","14.70588235294117647100"
9,"Apple iPad 10th Gen","137","20","14.59854014598540146000"
702,"Pet Travel Bowl","69","10","14.49275362318840579700"
148,"iRobot Roomba 694 Robot Vacuum","35","5","14.28571428571428571400"
396,"Unisex Leather Messenger Bag","14","2","14.28571428571428571400"
639,"Dog Agility Equipment","14","2","14.28571428571428571400"
410,"Women's Floral Romper","14","2","14.28571428571428571400"
331,"Unisex Fitness Tracker","14","2","14.28571428571428571400"
499,"Oil Dispenser","14","2","14.28571428571428571400"
528,"Dishwashing Gloves","14","2","14.28571428571428571400"
162,"LG UltraWide 34-Inch Monitor","42","6","14.28571428571428571400"
546,"Silicone Ice Cube Molds","14","2","14.28571428571428571400"
506,"Cheese Board Set","7","1","14.28571428571428571400"
548,"Cat Scratching Post","14","2","14.28571428571428571400"
603,"Resistance Bands","7","1","14.28571428571428571400"
54,"Samsung 65-Inch QLED TV","35","5","14.28571428571428571400"
128,"Garmin Venu 2","35","5","14.28571428571428571400"
664,"Pet Stroller","70","10","14.28571428571428571400"
202,"Sony WH-XB910N Wireless Headphones","35","5","14.28571428571428571400"
281,"Canon EOS 5D Mark IV Camera Kit","7","1","14.28571428571428571400"
613,"Hamster Cage","14","2","14.28571428571428571400"
167,"Anker Soundcore Flare 2","35","5","14.28571428571428571400"
604,"Pet Cooling Mat","7","1","14.28571428571428571400"
552,"Dog Crate","14","2","14.28571428571428571400"
646,"Miniature Golf Set","14","2","14.28571428571428571400"
674,"Kids’ Tent","49","7","14.28571428571428571400"
108,"Epson EcoTank ET-2760 Printer","42","6","14.28571428571428571400"
15,"Apple iPad Pro 12.9-inch (5th Gen)","64","9","14.06250000000000000000"
709,"Bouncing Ball","57","8","14.03508771929824561400"
203,"Razer Naga X MMO Gaming Mouse","50","7","14.00000000000000000000"
69,"Samsung Galaxy Z Fold 5","43","6","13.95348837209302325600"
102,"Bose SoundLink Revolve+","43","6","13.95348837209302325600"
7,"Apple iMac 27-Inch Retina","115","16","13.91304347826086956500"
137,"Logitech StreamCam","36","5","13.88888888888888888900"
76,"Samsung 32-Inch Curved Monitor","36","5","13.88888888888888888900"
130,"Logitech G502 Hero Gaming Mouse","36","5","13.88888888888888888900"
700,"Dog Boots","65","9","13.84615384615384615400"
165,"Google Nest Hub Max","29","4","13.79310344827586206900"
730,"Dog Life Jacket","58","8","13.79310344827586206900"
158,"Razer BlackWidow Elite","29","4","13.79310344827586206900"
47,"Dell Inspiron 14 5000 Laptop","29","4","13.79310344827586206900"
193,"Canon EOS R6 Mirrorless Camera","44","6","13.63636363636363636400"
725,"Cat Playhouse","66","9","13.63636363636363636400"
10,"Apple iPad 9th Gen","125","17","13.60000000000000000000"
735,"Remote-Controlled Helicopter","81","11","13.58024691358024691400"
474,"Tea Infuser","15","2","13.33333333333333333300"
194,"Microsoft Surface Book 3","30","4","13.33333333333333333300"
166,"Panasonic Lumix GH5","45","6","13.33333333333333333300"
156,"Fitbit Inspire 3","45","6","13.33333333333333333300"
454,"Cookware Set","15","2","13.33333333333333333300"
309,"Men's Classic T-Shirt","15","2","13.33333333333333333300"
643,"Sand Box","15","2","13.33333333333333333300"
214,"Canon RF 24-70mm f/2.8L IS USM Lens","30","4","13.33333333333333333300"
115,"Sony PlayStation 5","30","4","13.33333333333333333300"
338,"Women's Silk Blouse","15","2","13.33333333333333333300"
612,"Dog Training Collar","15","2","13.33333333333333333300"
92,"Nintendo Switch OLED Model","30","4","13.33333333333333333300"
154,"Microsoft Surface Pen","45","6","13.33333333333333333300"
459,"Set of Mixing Bowls","15","2","13.33333333333333333300"
62,"Samsung 34-Inch Curved Monitor","30","4","13.33333333333333333300"
668,"Cat Carrier Backpack","68","9","13.23529411764705882400"
720,"Portable Basketball Hoop","68","9","13.23529411764705882400"
68,"Samsung 55-Inch Q80T QLED TV","38","5","13.15789473684210526300"
75,"Samsung Galaxy Watch 5 Pro","38","5","13.15789473684210526300"
125,"Sony WH-1000XM5 Wireless Headphones","38","5","13.15789473684210526300"
59,"Samsung Galaxy Note 20 Ultra","38","5","13.15789473684210526300"
690,"Beach Ball","69","9","13.04347826086956521700"
46,"Dell Alienware m15 R6 Gaming Laptop","46","6","13.04347826086956521700"
650,"Water Gun","69","9","13.04347826086956521700"
667,"Dog Travel Bowl","54","7","12.96296296296296296300"
717,"Soccer Goal","85","11","12.94117647058823529400"
240,"Sony WH-H910N Wireless Headphones","31","4","12.90322580645161290300"
45,"Dell G5 Gaming Desktop","70","9","12.85714285714285714300"
247,"Bose Sleepbuds II","39","5","12.82051282051282051300"
49,"Dell XPS 13 Plus","39","5","12.82051282051282051300"
727,"Pet Odor Neutralizer","63","8","12.69841269841269841300"
665,"Bird Feeder","79","10","12.65822784810126582300"
634,"Dog Bone","8","1","12.50000000000000000000"
706,"Remote-Controlled Boat","64","8","12.50000000000000000000"
259,"Razer DeathAdder V2 Pro","8","1","12.50000000000000000000"
174,"TP-Link Kasa Smart Plug","32","4","12.50000000000000000000"
304,"Sony A7C Mirrorless Camera","16","2","12.50000000000000000000"
216,"Sony A7R IV Mirrorless Camera","40","5","12.50000000000000000000"
34,"Apple Watch SE","64","8","12.50000000000000000000"
325,"Women's Sandals","16","2","12.50000000000000000000"
686,"Tennis Shorts","72","9","12.50000000000000000000"
471,"Mixing Bowls with Lids","8","1","12.50000000000000000000"
615,"Magic Markers Set","16","2","12.50000000000000000000"
464,"Salt and Pepper Grinder Set","8","1","12.50000000000000000000"
476,"Reusable Food Storage Bags","8","1","12.50000000000000000000"
504,"Pot Holders","16","2","12.50000000000000000000"
330,"Women's High-Waisted Jeans","8","1","12.50000000000000000000"
448,"Dish Rack","8","1","12.50000000000000000000"
581,"Pet Brush","8","1","12.50000000000000000000"
400,"Women's Peplum Top","8","1","12.50000000000000000000"
380,"Women's Quilted Vest","8","1","12.50000000000000000000"
508,"Bread Box","8","1","12.50000000000000000000"
611,"Cat Food","16","2","12.50000000000000000000"
638,"Pet GPS Tracker","16","2","12.50000000000000000000"
292,"Sony A9 II Mirrorless Camera","8","1","12.50000000000000000000"
353,"Women's Booties","8","1","12.50000000000000000000"
70,"Samsung 43-Inch 4K UHD Monitor","41","5","12.19512195121951219500"
5,"Apple AirPods Pro 2nd Generation","123","15","12.19512195121951219500"
120,"Logitech C920 HD Pro Webcam","41","5","12.19512195121951219500"
195,"Fitbit Versa 4","41","5","12.19512195121951219500"
671,"Pet Litter Mat","74","9","12.16216216216216216200"
675,"Magnetic Building Blocks","66","8","12.12121212121212121200"
210,"ASUS TUF Gaming VG27AQ Monitor","33","4","12.12121212121212121200"
215,"Anker Nebula Capsule","33","4","12.12121212121212121200"
234,"HP Pavilion 27-inch All-in-One","33","4","12.12121212121212121200"
710,"Ride-On Car","50","6","12.00000000000000000000"
12,"Apple iPad Air (5th Gen)","75","9","12.00000000000000000000"
683,"Hiking Boots","75","9","12.00000000000000000000"
29,"Apple Magic Mouse 2","67","8","11.94029850746268656700"
685,"Camping Chair","76","9","11.84210526315789473700"
30,"Apple Magic Trackpad","76","9","11.84210526315789473700"
225,"Microsoft Surface Pro X","51","6","11.76470588235294117600"
227,"Sony WH-CH520 Wireless Headphones","34","4","11.76470588235294117600"
618,"Play Kitchen Set","17","2","11.76470588235294117600"
141,"Fitbit Versa 3","34","4","11.76470588235294117600"
631,"Pet Raincoat","17","2","11.76470588235294117600"
689,"Exercise Resistance Bands","68","8","11.76470588235294117600"
87,"Samsung Galaxy Note 20","34","4","11.76470588235294117600"
177,"Logitech C922 Pro Stream Webcam","34","4","11.76470588235294117600"
328,"Women's Knit Sweater","17","2","11.76470588235294117600"
583,"Dog Treats","17","2","11.76470588235294117600"
487,"Meat Thermometer","17","2","11.76470588235294117600"
79,"Samsung Galaxy S22 Plus","43","5","11.62790697674418604700"
658,"Bicycle Pump","69","8","11.59420289855072463800"
168,"DJI Osmo Pocket 2","26","3","11.53846153846153846200"
221,"Canon RF 50mm f/1.2L USM Lens","26","3","11.53846153846153846200"
673,"LEGO Star Wars Set","61","7","11.47540983606557377000"
676,"Ride-On Toy","61","7","11.47540983606557377000"
714,"Tennis Racket Set","70","8","11.42857142857142857100"
654,"Basketball Hoop","70","8","11.42857142857142857100"
716,"Golf Driving Range Net","70","8","11.42857142857142857100"
682,"Sports Goggles","88","10","11.36363636363636363600"
701,"Pet Car Seat Cover","71","8","11.26760563380281690100"
708,"Stuffed Animal Set","71","8","11.26760563380281690100"
726,"Dog Bed with Canopy","89","10","11.23595505617977528100"
349,"Men's Fleece Jacket","18","2","11.11111111111111111100"
93,"LG OLED C1 Series 55-Inch TV","36","4","11.11111111111111111100"
358,"Women's Winter Scarf","9","1","11.11111111111111111100"
219,"HP Envy 14 Laptop","36","4","11.11111111111111111100"
267,"Google Pixel 6 Pro","9","1","11.11111111111111111100"
273,"Microsoft Surface Go 3","9","1","11.11111111111111111100"
432,"Women's Casual Sneakers","9","1","11.11111111111111111100"
159,"Amazon Echo Show 8","36","4","11.11111111111111111100"
266,"Jabra Elite Active 75t","9","1","11.11111111111111111100"
322,"Men's Winter Coat","9","1","11.11111111111111111100"
711,"Inflatable Slide","54","6","11.11111111111111111100"
2,"Apple AirPods Max","126","14","11.11111111111111111100"
283,"HP Envy 17 Laptop","9","1","11.11111111111111111100"
42,"Dell UltraSharp U2720Q Monitor","72","8","11.11111111111111111100"
591,"Kites","9","1","11.11111111111111111100"
335,"Women's Trench Coat","9","1","11.11111111111111111100"
518,"Electric Egg Cooker","9","1","11.11111111111111111100"
26,"Apple MacBook Pro 16-inch (2021)","54","6","11.11111111111111111100"
359,"Men's Casual Sneakers","9","1","11.11111111111111111100"
598,"Baseball Glove","9","1","11.11111111111111111100"
557,"Teddy Bear","9","1","11.11111111111111111100"
151,"Elgato Game Capture HD60 S","36","4","11.11111111111111111100"
645,"Kids Camera","9","1","11.11111111111111111100"
333,"Women's Floral Skirt","9","1","11.11111111111111111100"
489,"Electric Hot Pot","18","2","11.11111111111111111100"
86,"Samsung 32-Inch Curved UHD Monitor","37","4","10.81081081081081081100"
